[*] 6840 | 2026-01-14 19:07:20 | КОНСОЛЬ      | 43243           | AUTO кнопка: серая с фиолетовым текстом
[*] 6841 | 2026-01-14 19:07:20 | КОНСОЛЬ      | 43243           | STOP кнопка: серая (неактивна)
[-] 6842 | 2026-01-14 19:07:21 | ОТКЛЮЧЕНИЕ   | 43243           | Остановлено процессов: 1 (test.exe)
[~] 6843 | 2026-01-14 19:07:22 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[~] 6844 | 2026-01-14 19:07:22 | ИЗМЕНЕНИЕ    | авыаывавы       | Статус изменен: Runned → Stopped (процесс остановлен)
[~] 6845 | 2026-01-14 19:07:22 | ИЗМЕНЕНИЕ    | 43243           | Статус изменен: Runned → Stopped (процесс остановлен)
[#] 6846 | 2026-01-14 19:07:26 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 6847 | 2026-01-14 19:07:26 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 6848 | 2026-01-14 19:07:26 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[+] 6849 | 2026-01-14 19:08:02 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 6850 | 2026-01-14 19:08:04 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 6851 | 2026-01-14 19:08:05 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[*] 6852 | 2026-01-14 19:09:44 | КОНСОЛЬ      | Autoit_Error    | AUTO включен пользователем
[*] 6853 | 2026-01-14 19:09:44 | КОНСОЛЬ      | Autoit_Error    | Обновление кнопок: AUTO=1
[*] 6854 | 2026-01-14 19:09:44 | КОНСОЛЬ      | Autoit_Error    | AUTO кнопка: фиолетовая с белым текстом
[*] 6855 | 2026-01-14 19:09:44 | КОНСОЛЬ      | Autoit_Error    | STOP кнопка: красная с белым текстом (активна)
[*] 6856 | 2026-01-14 19:09:44 | КОНСОЛЬ      | Autoit_Error    | ✅ Процесс запущен через Run() (PID: 14740, попытка: 1)
[+] 6857 | 2026-01-14 19:09:44 | ВКЛЮЧЕНИЕ    | Autoit_Error    | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\00_AutoitError.exe
[~] 6858 | 2026-01-14 19:09:45 | ИЗМЕНЕНИЕ    | Autoit_Error    | Статус изменен: Stopped → Runned (процесс запущен)
[+] 6859 | 2026-01-14 19:10:10 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 6860 | 2026-01-14 19:10:11 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 6861 | 2026-01-14 19:10:12 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[#] 6862 | 2026-01-14 19:17:17 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 6863 | 2026-01-14 19:17:17 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
