[#] 0130 | 2026-01-14 18:28:34 | СИСТЕМА      | WMI             | 🔄 Инициализация WMI Events для ProcessManager.exe (интервал: 0.1 сек)...
[+] 0131 | 2026-01-14 18:28:34 | ВКЛЮЧЕНИЕ    | WMI             | ✅ WMI служба успешно подключена
[#] 0132 | 2026-01-14 18:28:34 | СИСТЕМА      | WMI             | 🔍 Проверяем ProcessManager.exe через WMI...
[*] 0133 | 2026-01-14 18:28:34 | КОНСОЛЬ      | WMI             | ✅ ProcessManager.exe найден (1 экземпляров)
[#] 0134 | 2026-01-14 18:28:34 | СИСТЕМА      | WMI             | 📊 WMI проверка завершена
[#] 0135 | 2026-01-14 18:28:35 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0136 | 2026-01-14 18:28:35 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[#] 0137 | 2026-01-14 18:28:35 | СИСТЕМА      | WMI             | 🎯 WMI Events система готова к работе
[#] 0138 | 2026-01-14 18:28:35 | СИСТЕМА      | OPTIMIZATION    | 📊 Интервалы: MainLoop=100мс, WMI Events=500мс, WMI Poll=1000мс
[#] 0139 | 2026-01-14 18:28:45 | СИСТЕМА      | WMI_POLL        | 🔄 Попытка восстановления WMI Events после 10 успешных опросов...
[#] 0140 | 2026-01-14 18:28:45 | СИСТЕМА      | WMI             | 🔄 Попытка восстановления WMI Events...
[#] 0141 | 2026-01-14 18:28:45 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0142 | 2026-01-14 18:28:45 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[+] 0143 | 2026-01-14 18:28:45 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events успешно восстановлены из режима опроса!
[+] 0144 | 2026-01-14 18:32:56 | ВКЛЮЧЕНИЕ    | WATCHDOG        | ⚡ AutoIt Error Watchdog запущен (БЫСТРЫЙ СТАРТ)
[#] 0145 | 2026-01-14 18:32:56 | СИСТЕМА      | OPTIMIZATION    | ⚡ CPU оптимизация: WMI ОТКЛЮЧЕН, Polling режим, Sleep 100мс
[#] 0146 | 2026-01-14 18:32:56 | СИСТЕМА      | WMI_CLEANUP     | ⚡ WMI очистка: БЫСТРЫЙ режим, только завершение процессов
[#] 0147 | 2026-01-14 18:32:56 | СИСТЕМА      | WMI_CLEANUP     | ⚡ БЫСТРАЯ очистка WMI при запуске...
[#] 0148 | 2026-01-14 18:32:56 | СИСТЕМА      | WMI_CLEANUP     | ⚡ Быстрый перезапуск службы WMI...
[#] 0149 | 2026-01-14 18:32:58 | СИСТЕМА      | WMI_CLEANUP     | ✅ Служба WMI перезапущена (задержка: 1500мс)
[#] 0150 | 2026-01-14 18:32:58 | СИСТЕМА      | WMI_CLEANUP     | ✅ Быстрая очистка WMI завершена
[#] 0151 | 2026-01-14 18:32:58 | СИСТЕМА      | WMI             | 🔄 Инициализация WMI Events для ProcessManager.exe (интервал: 0.1 сек)...
[+] 0152 | 2026-01-14 18:32:58 | ВКЛЮЧЕНИЕ    | WMI             | ✅ WMI служба успешно подключена
[#] 0153 | 2026-01-14 18:32:58 | СИСТЕМА      | WMI             | 🔍 Проверяем ProcessManager.exe через WMI...
[*] 0154 | 2026-01-14 18:32:58 | КОНСОЛЬ      | WMI             | ✅ ProcessManager.exe найден (1 экземпляров)
[#] 0155 | 2026-01-14 18:32:58 | СИСТЕМА      | WMI             | 📊 WMI проверка завершена
[#] 0156 | 2026-01-14 18:32:58 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0157 | 2026-01-14 18:32:59 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[#] 0158 | 2026-01-14 18:32:59 | СИСТЕМА      | WMI             | 🎯 WMI Events система готова к работе
[#] 0159 | 2026-01-14 18:32:59 | СИСТЕМА      | OPTIMIZATION    | 📊 Интервалы: MainLoop=100мс, WMI Events=500мс, WMI Poll=1000мс
[#] 0160 | 2026-01-14 18:33:09 | СИСТЕМА      | WMI_POLL        | 🔄 Попытка восстановления WMI Events после 10 успешных опросов...
[#] 0161 | 2026-01-14 18:33:09 | СИСТЕМА      | WMI             | 🔄 Попытка восстановления WMI Events...
[#] 0162 | 2026-01-14 18:33:09 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0163 | 2026-01-14 18:33:09 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[+] 0164 | 2026-01-14 18:33:09 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events успешно восстановлены из режима опроса!
[+] 0165 | 2026-01-14 18:39:58 | ВКЛЮЧЕНИЕ    | WATCHDOG        | ⚡ AutoIt Error Watchdog запущен (БЫСТРЫЙ СТАРТ)
[#] 0166 | 2026-01-14 18:39:58 | СИСТЕМА      | OPTIMIZATION    | ⚡ CPU оптимизация: WMI ОТКЛЮЧЕН, Polling режим, Sleep 100мс
[#] 0167 | 2026-01-14 18:39:58 | СИСТЕМА      | WMI_CLEANUP     | ⚡ WMI очистка: БЫСТРЫЙ режим, только завершение процессов
[#] 0168 | 2026-01-14 18:39:58 | СИСТЕМА      | WMI_CLEANUP     | ⚡ БЫСТРАЯ очистка WMI при запуске...
[#] 0169 | 2026-01-14 18:39:58 | СИСТЕМА      | WMI_CLEANUP     | ⚡ Быстрый перезапуск службы WMI...
[#] 0170 | 2026-01-14 18:40:00 | СИСТЕМА      | WMI_CLEANUP     | ✅ Служба WMI перезапущена (задержка: 1500мс)
[#] 0171 | 2026-01-14 18:40:00 | СИСТЕМА      | WMI_CLEANUP     | ✅ Быстрая очистка WMI завершена
[#] 0172 | 2026-01-14 18:40:00 | СИСТЕМА      | WMI             | 🔄 Инициализация WMI Events для ProcessManager.exe (интервал: 0.1 сек)...
